71906,70790,52348,71881,78489,91,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52348,71881,78489,91,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52349,70125,78489,343,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52349,70125,78489,343,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52349,70125,78489,28,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52349,70125,78489,28,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
716,70790,52349,15,78489,2,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (716,70790,52349,15,78489,2,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71905,70790,52349,71881,78489,7,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71905,70790,52349,71881,78489,7,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
71906,70790,52349,71881,78489,6,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (71906,70790,52349,71881,78489,6,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52450,54,73102,66,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52450,54,73102,66,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
709,70790,52450,70125,73102,1953,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (709,70790,52450,70125,73102,1953,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52450,54,73102,69,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52450,54,73102,69,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
712,70790,52450,70125,73102,77,"INSERT INTO datavalue (dataelementid, periodid, sourceid, categoryoptioncomboid, attributeoptioncomboid, value, storedby, created, lastupdated, deleted) VALUES (712,70790,52450,70125,73102,77,'felix','2017-07-18 12:16:00.146','2017-07-18 12:16:00.146',FALSE);"
